Label: Vasto lateral direito: EMG 1->Scale->Math->Filter Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math->Filter [Volts]
9,969231e-002	4,606464e-006
1,002115e-001	4,604116e-006
1,007308e-001	4,601005e-006
1,012500e-001	4,597393e-006
1,017692e-001	4,594017e-006
1,022885e-001	4,591207e-006
1,028077e-001	4,588869e-006
1,033269e-001	4,586302e-006
1,038462e-001	4,582664e-006
1,043654e-001	4,577970e-006
1,048846e-001	4,572572e-006
1,054038e-001	4,566426e-006
1,059231e-001	4,559314e-006
1,064423e-001	4,551122e-006
1,069615e-001	4,541882e-006
1,074808e-001	4,531787e-006
1,080000e-001	4,521087e-006
1,085192e-001	4,509964e-006
1,090385e-001	4,498818e-006
1,095577e-001	4,488486e-006
1,100769e-001	4,479575e-006
1,105962e-001	4,471970e-006
1,111154e-001	4,465412e-006
1,116346e-001	4,459429e-006
1,121538e-001	4,453172e-006
1,126731e-001	4,446942e-006
1,131923e-001	4,442900e-006
1,137115e-001	4,442992e-006
1,142308e-001	4,446977e-006
1,147500e-001	4,453208e-006
1,152692e-001	4,460325e-006
1,157885e-001	4,467740e-006
1,163077e-001	4,475155e-006
1,168269e-001	4,482277e-006
1,173462e-001	4,488921e-006
1,178654e-001	4,495112e-006
1,183846e-001	4,500684e-006
1,189038e-001	4,505397e-006
1,194231e-001	4,509624e-006
1,199423e-001	4,513553e-006
1,204615e-001	4,516613e-006
1,209808e-001	4,518188e-006
1,215000e-001	4,518653e-006
1,220192e-001	4,519495e-006
1,225385e-001	4,521217e-006
1,230577e-001	4,523010e-006
1,235769e-001	4,524918e-006
1,240962e-001	4,527787e-006
1,246154e-001	4,532343e-006
1,251346e-001	4,539001e-006
1,256538e-001	4,547894e-006
1,261731e-001	4,560288e-006
1,266923e-001	4,578724e-006
1,272115e-001	4,604345e-006
1,277308e-001	4,636255e-006
1,282500e-001	4,673999e-006
1,287692e-001	4,718748e-006
1,292885e-001	4,771960e-006
1,298077e-001	4,833112e-006
1,303269e-001	4,898745e-006
1,308462e-001	4,964321e-006
1,313654e-001	5,027753e-006
1,318846e-001	5,090837e-006
1,324038e-001	5,156745e-006
1,329231e-001	5,226961e-006
1,334423e-001	5,300444e-006
1,339615e-001	5,374531e-006
1,344808e-001	5,446838e-006
1,350000e-001	5,516842e-006
1,355192e-001	5,585365e-006
1,360385e-001	5,653109e-006
1,365577e-001	5,720456e-006
1,370769e-001	5,787197e-006
1,375962e-001	5,852523e-006
1,381154e-001	5,916642e-006
1,386346e-001	5,980777e-006
1,391538e-001	6,046251e-006
1,396731e-001	6,114684e-006
1,401923e-001	6,186642e-006
1,407115e-001	6,260432e-006
1,412308e-001	6,333973e-006
1,417500e-001	6,407037e-006
1,422692e-001	6,481018e-006
1,427885e-001	6,557017e-006
1,433077e-001	6,634678e-006
1,438269e-001	6,714102e-006
1,443462e-001	6,798269e-006
1,448654e-001	6,890848e-006
1,453846e-001	6,992261e-006
1,459038e-001	7,099892e-006
1,464231e-001	7,211078e-006
1,469423e-001	7,324896e-006
1,474615e-001	7,442273e-006
1,479808e-001	7,565196e-006
1,485000e-001	7,694654e-006
1,490192e-001	7,829009e-006
1,495385e-001	7,965547e-006
1,500577e-001	8,102778e-006
1,505769e-001	8,239479e-006
1,510962e-001	8,373082e-006
1,516154e-001	8,501538e-006
1,521346e-001	8,625324e-006
1,526538e-001	8,746764e-006
1,531731e-001	8,868726e-006
1,536923e-001	8,993504e-006
1,542115e-001	9,122272e-006
1,547308e-001	9,254536e-006
1,552500e-001	9,388084e-006
1,557692e-001	9,521678e-006
1,562885e-001	9,657812e-006
1,568077e-001	9,801475e-006
1,573269e-001	9,957020e-006
1,578462e-001	1,012703e-005
1,583654e-001	1,031322e-005
1,588846e-001	1,051853e-005
1,594038e-001	1,074842e-005
1,599231e-001	1,100817e-005
1,604423e-001	1,129834e-005
1,609615e-001	1,161303e-005
1,614808e-001	1,194296e-005
1,620000e-001	1,228055e-005
1,625192e-001	1,262148e-005
1,630385e-001	1,296189e-005
1,635577e-001	1,329637e-005
1,640769e-001	1,362309e-005
1,645962e-001	1,394761e-005
1,651154e-001	1,427591e-005
1,656346e-001	1,460849e-005
1,661538e-001	1,494145e-005
1,666731e-001	1,527035e-005
1,671923e-001	1,559296e-005
1,677115e-001	1,590845e-005
1,682308e-001	1,621762e-005
1,687500e-001	1,652410e-005
1,692692e-001	1,683179e-005
1,697885e-001	1,714144e-005
1,703077e-001	1,745231e-005
1,708269e-001	1,776734e-005
1,713462e-001	1,809533e-005
1,718654e-001	1,844620e-005
1,723846e-001	1,882449e-005
1,729038e-001	1,922811e-005
1,734231e-001	1,964935e-005
1,739423e-001	2,007499e-005
1,744615e-001	2,049237e-005
1,749808e-001	2,089741e-005
1,755000e-001	2,129211e-005
1,760192e-001	2,168004e-005
1,765385e-001	2,206293e-005
1,770577e-001	2,243781e-005
1,775769e-001	2,280389e-005
1,780962e-001	2,316639e-005
1,786154e-001	2,352910e-005
1,791346e-001	2,389104e-005
1,796538e-001	2,425201e-005
1,801731e-001	2,461730e-005
1,806923e-001	2,499282e-005
1,812115e-001	2,537772e-005
1,817308e-001	2,576640e-005
1,822500e-001	2,615499e-005
1,827692e-001	2,654292e-005
1,832885e-001	2,692857e-005
1,838077e-001	2,730623e-005
1,843269e-001	2,766913e-005
1,848462e-001	2,801360e-005
1,853654e-001	2,834020e-005
1,858846e-001	2,865269e-005
1,864038e-001	2,895553e-005
1,869231e-001	2,925057e-005
1,874423e-001	2,953632e-005
1,879615e-001	2,981227e-005
1,884808e-001	3,008267e-005
1,890000e-001	3,035446e-005
1,895192e-001	3,063211e-005
1,900385e-001	3,091697e-005
1,905577e-001	3,121098e-005
1,910769e-001	3,151679e-005
1,915962e-001	3,183347e-005
1,921154e-001	3,215552e-005
1,926346e-001	3,247778e-005
1,931538e-001	3,279994e-005
1,936731e-001	3,312456e-005
1,941923e-001	3,345211e-005
1,947115e-001	3,378044e-005
1,952308e-001	3,410835e-005
1,957500e-001	3,443733e-005
1,962692e-001	3,476949e-005
1,967885e-001	3,510481e-005
1,973077e-001	3,543978e-005
1,978269e-001	3,576715e-005
1,983462e-001	3,608003e-005
1,988654e-001	3,637809e-005
1,993846e-001	3,666481e-005
1,999038e-001	3,693952e-005
2,004231e-001	3,719870e-005
2,009423e-001	3,744205e-005
2,014615e-001	3,766969e-005
2,019808e-001	3,788014e-005
2,025000e-001	3,807279e-005
2,030192e-001	3,824910e-005
2,035385e-001	3,841386e-005
2,040577e-001	3,857184e-005
2,045769e-001	3,872557e-005
2,050962e-001	3,887719e-005
2,056154e-001	3,902662e-005
2,061346e-001	3,916912e-005
2,066538e-001	3,929881e-005
2,071731e-001	3,941345e-005
2,076923e-001	3,951458e-005
2,082115e-001	3,960869e-005
2,087308e-001	3,970564e-005
2,092500e-001	3,980917e-005
2,097692e-001	3,991275e-005
2,102885e-001	4,000939e-005
2,108077e-001	4,010144e-005
2,113269e-001	4,019668e-005
2,118462e-001	4,029794e-005
2,123654e-001	4,040083e-005
2,128846e-001	4,049779e-005
2,134038e-001	4,058354e-005
2,139231e-001	4,066017e-005
2,144423e-001	4,073484e-005
2,149615e-001	4,081324e-005
2,154808e-001	4,089723e-005
2,160000e-001	4,098492e-005
2,165192e-001	4,107122e-005
