Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
1,002115e-001	1,525750e-006
1,007308e-001	2,373388e-006
1,012500e-001	5,933471e-006
1,017692e-001	5,594415e-006
1,022885e-001	6,272526e-006
1,028077e-001	4,407721e-006
1,033269e-001	1,695277e-007
1,038462e-001	1,525750e-006
1,043654e-001	2,881972e-006
1,048846e-001	2,203861e-006
1,054038e-001	1,525750e-006
1,059231e-001	1,017166e-006
1,064423e-001	1,186694e-006
1,069615e-001	1,356222e-006
1,074808e-001	2,542916e-006
1,080000e-001	2,373388e-006
1,085192e-001	3,221027e-006
1,090385e-001	5,763943e-006
1,095577e-001	8,645915e-006
1,100769e-001	6,950637e-006
1,105962e-001	6,611582e-006
1,111154e-001	6,611582e-006
1,116346e-001	2,203861e-006
1,121538e-001	2,203861e-006
1,126731e-001	9,663081e-006
1,131923e-001	1,763088e-005
1,137115e-001	1,542702e-005
1,142308e-001	1,051072e-005
1,147500e-001	6,272526e-006
1,152692e-001	5,933471e-006
1,157885e-001	4,916305e-006
1,163077e-001	4,238194e-006
1,168269e-001	3,560082e-006
1,173462e-001	3,560082e-006
1,178654e-001	4,407721e-006
1,183846e-001	8,476387e-007
1,189038e-001	4,407721e-006
1,194231e-001	4,577249e-006
1,199423e-001	2,542916e-006
1,204615e-001	3,390555e-007
1,209808e-001	0,000000e+000
1,215000e-001	6,442054e-006
1,220192e-001	9,324025e-006
1,225385e-001	2,542916e-006
1,230577e-001	4,916305e-006
1,235769e-001	7,459220e-006
1,240962e-001	8,984970e-006
1,246154e-001	1,135836e-005
1,251346e-001	1,000214e-005
1,256538e-001	1,237552e-005
1,261731e-001	2,305577e-005
1,266923e-001	2,729397e-005
1,272115e-001	2,203860e-005
1,277308e-001	2,102144e-005
1,282500e-001	2,542916e-005
1,287692e-001	3,187121e-005
1,292885e-001	3,221027e-005
1,298077e-001	2,220813e-005
1,303269e-001	7,798276e-006
1,308462e-001	1,695277e-007
1,313654e-001	7,967803e-006
1,318846e-001	1,864805e-005
1,324038e-001	2,322530e-005
1,329231e-001	2,017380e-005
1,334423e-001	1,220600e-005
1,339615e-001	4,238194e-006
1,344808e-001	3,390555e-006
1,350000e-001	7,289692e-006
1,355192e-001	8,645915e-006
1,360385e-001	9,324025e-006
1,365577e-001	1,068025e-005
1,370769e-001	5,255360e-006
1,375962e-001	6,272526e-006
1,381154e-001	1,169741e-005
1,386346e-001	1,271458e-005
1,391538e-001	1,949569e-005
1,396731e-001	2,271672e-005
1,401923e-001	1,661372e-005
1,407115e-001	8,984970e-006
1,412308e-001	9,154497e-006
1,417500e-001	1,424033e-005
1,422692e-001	1,881758e-005
1,427885e-001	1,678325e-005
1,433077e-001	1,339269e-005
1,438269e-001	2,407294e-005
1,443462e-001	3,848280e-005
1,448654e-001	3,949996e-005
1,453846e-001	3,034546e-005
1,459038e-001	2,288624e-005
1,464231e-001	2,102144e-005
1,469423e-001	2,390341e-005
1,474615e-001	3,102357e-005
1,479808e-001	3,644846e-005
1,485000e-001	3,102357e-005
1,490192e-001	2,153002e-005
1,495385e-001	1,915663e-005
